MWE,Category,POS 1,POS 2
rear_window,c,noun,
record_player,c,noun,
red_bean,c,noun,
red_deer,c,noun,
red_dwarf,pn,noun,
red_herring,c,noun,
red_tape,c,noun,
reinforced_concrete,c,noun,
relating_to,ffi,prep,
relational_database,c,noun,
relative_humidity,c,noun,
relief_valve,c,noun,
republic_of_albania,pn,noun,
republic_of_cuba,pn,noun,
republic_of_cyprus,pn,noun,
republic_of_estonia,pn,noun,
republic_of_ghana,pn,noun,
republic_of_korea,pn,noun,
republic_of_latvia,pn,noun,
republic_of_lithuania,pn,noun,
republic_of_moldova,pn,noun,
republic_of_poland,pn,noun,
republic_of_slovenia,pn,noun,
republic_of_the_congo,pn,noun,
respiratory_system,c,noun,
response_time,c,noun,
retail_outlet,c,noun,
revenue_stamp,c,noun,
rhetorical_question,c,noun,
rib_cage,c,noun,
richter_scale,pn,noun,
right_-_handed,c,adj,
right_-_hander,c,noun,
right_triangle,c,noun,
ring_finger,c,noun,
ring_road,c,noun,
roast_beef,c,noun,
rock_band,c,noun,
rock_crystal,c,noun,
rock_music,c,noun,
rock_salt,c,noun,
rocket_engine,c,noun,
roe_deer,c,noun,
roller_skate,c,noun,
rolling_stock,c,noun,
roman_script,pn,noun,
rose_garden,c,noun,
rose_window,c,noun,
round_table,c,noun,
rubbish_bin,c,noun,
run_off,ffi,verb,
rush_hour,c,noun,
russian_federation,pn,noun,
safe_and_sound,ffi,adj,
saint_george,pn,noun,
saint_lucia,pn,noun,
saint_petersburg,pn,noun,
saint_vincent_and_the_grenadines,pn,noun,
salt_marsh,c,noun,
salvation_army,pn,noun,
san_salvador,pn,noun,
santa_claus,pn,noun,
santa_fe,pn,noun,
scalar_product,c,noun,
school_bus,c,noun,
science_fiction,c,noun,
scottish_gaelic,c,adj,
sea_bass,c,noun,
sea_of_japan,pn,noun,
sea_of_okhotsk,pn,noun,
sea_rover,c,noun,
sea_urchin,c,noun,
search_warrant,c,noun,
season_ticket,c,noun,
second_world_war,pn,noun,
secretary_general,c,noun,
security_guard,c,noun,
sedge_warbler,c,noun,
sedimentary_rock,c,noun,
see_-_through,ffi,adj,
self_-_awareness,c,noun,
self_-_confidence,c,noun,
self_-_contradictory,c,adj,
self_-_destruction,c,noun,
self_-_destructive,c,adj,
self_-_esteem,c,noun,
self_-_service,c,noun,
self_-_sufficient,c,adj,
self_-conscious,c,adj,
sense_of_smell,s,noun,
serial_killer,c,noun,
sermon_on_the_mount,ffi,noun,
sesame_oil,c,noun,
set_afire,ffi,verb,
set_out,ffi,verb,
set_up,ffi,verb,
settle_down,ffi,verb,
sewing_machine,c,noun,
sex_drive,c,noun,
sexual_intercourse,c,noun,
sexually_transmitted_disease,c,noun,
sexually_transmitted_infection,c,noun,
shangri_-_la,pn,noun,
shelf_life,c,noun,
sherlock_holmes,pn,noun,
shetland_islands,pn,noun,
shift_key,c,noun,
shock_wave,c,noun,
shop_window,c,noun,
shopping_cart,c,noun,
short_circuit,c,noun,
shorthand_typist,c,noun,
shot_glass,c,noun,
shot_put,c,noun,
show_off,ffi,verb,
show_up,ffi,verb,
shrove_tuesday,pn,noun,
side_street,c,noun,
sierra_leone,pn,noun,
sign_language,c,noun,
silica_gel,c,noun,
silicon_valley,c,noun,
sin_city,pn,noun,
single_-_handedly,ffi,adv,
single_-_minded,c,adj,
sino_-_tibetan,pn,adj,noun
sit_down,ffi,verb,
sitting_room,c,noun,
six_pack,c,noun,
skull_and_crossbones,ffi,noun,
sleeping_bag,c,noun,
sleeping_beauty,pn,noun,
slumber_party,c,noun,
small_hours,ffi,noun,
snare_drum,c,noun,
snow_-_covered,c,adj,
snow_-_white,ffi,adj,
snow_leopard,c,noun,
so_-_so,ffi,adj,
so_far,ffi,adv,
soap_bubble,c,noun,
soap_opera,c,noun,
social_class,c,noun,
social_contract,c,noun,
social_work,c,noun,
social_worker,c,noun,
sockeye_salmon,c,noun,
soda_pop,c,noun,
sodium_bicarbonate,c,noun,
sodium_carbonate,c,noun,
sodium_hydroxide,c,noun,
sodium_hypochlorite,c,noun,
software_engineer,c,noun,
solar_eclipse,c,noun,
solar_system,c,noun,
soldier_of_fortune,s,noun,
solid_ground,ffi,noun,
solomon_islands,pn,noun,
song_thrush,c,noun,
sound_wave,c,noun,
soup_kitchen,c,noun,
south_africa,pn,noun,
south_american,c,noun,
south_korea,pn,noun,
south_west_africa,pn,noun,
soviet_socialist_republic,pn,noun,
space_age,pn,noun,
space_bar,c,noun,
space_capsule,c,noun,
space_probe,c,noun,
spare_time,c,noun,
spark_plug,c,noun,
speech_act,c,noun,
speech_community,c,noun,
speed_up,ffi,verb,
sperm_bank,c,noun,
sphere_of_influence,s,noun,
split_up,ffi,verb,
spontaneous_generation,c,noun,
sports_car,c,noun,
spotted_hyena,c,noun,
spring_onion,c,noun,
square_foot,c,noun,
square_inch,c,noun,
square_matrix,c,noun,
sri_lanka,pn,noun,
st_._george_'s,pn,noun,
st_._john_'s,pn,noun,
stag_party,c,noun,
stage_fright,c,noun,
stand_-_in,c,noun,
standard_chinese,pn,noun,
standard_of_living,s,noun,
standing_stone,c,noun,
star_-_spangled_banner,pn,noun,
stars_and_stripes,pn,noun,
statue_of_liberty,pn,noun,
status_quo,ffi,noun,
statute_law,c,noun,
statutory_rape,c,noun,
steam_boiler,c,noun,
steam_engine,c,noun,
stem_cell,c,noun,
stick_out,ffi,verb,
stochastic_process,c,noun,
straight_line,c,noun,
straighten_out,ffi,verb,
strait_of_gibraltar,pn,noun,
straw_man,c,noun,
straw_poll,c,noun,
stringed_instrument,c,noun,
strong_point,c,noun,
submachine_gun,c,noun,
succinic_acid,c,noun,
sudden_infant_death_syndrome,c,noun,
sui_generis,ffi,adj,
sultanate_of_oman,pn,noun,
summer_solstice,c,noun,
suntan_lotion,c,noun,
swimming_pool,c,noun,
tail_end,c,noun,
take_a_look,ffi,verb,
take_a_seat,ffi,verb,
take_after,ffi,verb,
take_care_of_business,s,noun,
take_into_account,s,verb,
take_leave,ffi,verb,
take_over,ffi,verb,
take_part,ffi,verb,
take_place,ffi,verb,
talk_show,c,noun,
tam_-_tam,ffi,noun,
tamil_tigers,pn,noun,
tap_water,c,noun,
tartaric_acid,c,noun,
tax_evasion,c,noun,
tax_-exempt,c,adj,
tax_return,c,noun,
tea_ceremony,c,noun,
teacher_'s_pet,ffi,noun,
telephone_kiosk,c,noun,
television_channel,c,noun,
tell_apart,ffi,verb,
ten_commandments,pn,noun,
tennis_court,c,noun,
tennis_racket,c,noun,
terra_firma,ffi,noun,
text_file,c,noun,
that_is_to_say,ffi,adv,
the_bends,ffi,noun,
the_clap,ffi,noun,
the_globe,pn,noun,
the_law,s,noun,
the_plague,s,noun,
the_strip,pn,noun,
the_yukon,pn,noun,
theme_park,c,noun,
theme_song,c,noun,
theme_tune,c,noun,
these_days,s,adv,noun
third_party,ffi,noun,
third_reich,pn,noun,
this_day,s,noun,
throw_-_in,ffi,verb,
throw_away,ffi,verb,
throw_up,ffi,verb,
thus_far,ffi,adv,
tidy_up,ffi,verb,
tierra_del_fuego,pn,noun,
tightrope_walker,c,noun,
timber_wolf,c,noun,
time_-_consuming,c,adj,
time_and_time_again,ffi,adv,
time_bomb,c,noun,
time_capsule,c,noun,
time_of_arrival,s,noun,
time_out,s,noun,
tin_can,c,noun,
tom_thumb,pn,noun,
top_hat,c,noun,
top_quark,c,noun,
torres_strait,pn,noun,noun
tow_truck,c,noun,
town_planning,c,noun,
trade_name,c,noun,
trade_union,c,verb,
trade_wind,pn,noun,
traffic_circle,c,noun,
trash_can,c,noun,
travel_agency,c,noun,
tree_frog,c,noun,
tree_trunk,c,noun,
trench_coat,c,noun,
trial_and_error,ffi,noun,
tropic_of_cancer,pn,noun,
truck_stop,c,noun,
try_out,ffi,verb,
tulip_tree,c,noun,
turkey_vulture,c,noun,
turkish_bath,c,noun,
turn_up,ffi,verb,
twenty_-_fifth,ffi,misc,
two_-_piece,c,noun,
typographical_error,c,noun,
uncle_sam,pn,noun,
underground_railway,c,noun,
unit_of_measurement,s,noun,
united_kingdom,pn,noun,
united_kingdom_of_great_britain_and_northern_ireland,pn,noun,
united_nations,pn,noun,
united_states,pn,noun,
universal_set,c,noun,
ural_mountains,pn,noun,
urban_myth,c,noun,
uric_acid,c,noun,
urinary_bladder,c,noun,
ursa_major,c,noun,
user_-_friendly,c,adj,
user_interface,c,noun,
v.i_.,ffi,misc,
vacuum_tube,c,noun,
vagus_nerve,ffi,noun,
valentine_'s_day,pn,noun,
vanishing_point,c,noun,
vapor_pressure,c,noun,
vas_deferens,c,noun,
vatican_city,pn,noun,
vernal_equinox,pn,noun,
very_well,s,adv,
veterinary_surgeon,c,noun,
vice_president,c,noun,
vice_versa,ffi,adv,
vice_versa_.,ffi,adv,
victoria_falls,pn,noun,
video_game,c,noun,
virgin_forest,c,noun,
virgin_mary,pn,noun,
vitamin_c,ffi,noun,
vox_pop,ffi,noun,
wait_on,ffi,verb,
waiting_room,c,noun,
wake_-_up_call,c,noun,
walk_around,ffi,verb,
war_criminal,c,noun,
war_cry,c,noun,
war_game,c,noun,
warm_front,c,noun,
warm_up,ffi,verb,
water_clock,c,noun,
water_fountain,c,noun,
water_lily,c,noun,
water_pipe,c,noun,
water_tower,c,noun,
weapon_of_mass_destruction,ffi,noun,
weather_deck,c,noun,
weather_vane,c,noun,
web_browser,c,noun,
web_page,c,noun,
web_site,c,noun,
wedding_dress,c,noun,
weeping_willow,c,noun,
well_-_behaved,s,adj,
well_-_being,ffi,noun,
well_-_endowed,c,adj,
well_-_founded,c,adj,
well_-_mannered,c,adj,
well_-_nigh,ffi,adv,
well_-_to_-_do,ffi,adj,
west_bengal,pn,noun,
west_germany,pn,noun,
west_indies,pn,noun,
western_sahara,pn,noun,
westminster_abbey,pn,noun,
whipped_cream,c,noun,
white_-_tailed_deer,c,noun,
white_blood_cell,c,noun,
white_bread,c,noun,
white_dwarf,c,noun,
white_trash,c,noun,
whole_lot,ffi,noun,
whole_milk,c,noun,
whole_note,c,noun,
whole_number,c,noun,
wide_area_network,c,noun,
wild_cherry,c,noun,
win_over,ffi,verb,
wind_turbine,c,noun,
wine_bottle,c,noun,
wine_cellar,c,noun,
winter_solstice,c,noun,
wishful_thinking,c,noun,
witch_doctor,c,noun,
wood_sorrel,c,noun,
worcestershire_sauce,c,noun,
word_for_word,ffi,adv,
work_of_art,s,noun,
work_out,ffi,verb,
working_class,c,noun,
working_day,c,noun,
world_trade_organization,pn,noun,
world_war,c,noun,
world_war_2,pn,noun,
world_war_ii,pn,noun,
worn_-_out,s,adj,
write_down,ffi,verb,
write_out,ffi,verb,
wrought_iron,c,noun,
x_-_ray,ffi,noun,
yellow_river,pn,noun,
young_girl,s,noun,
young_man,c,noun,
yukon_territory,pn,noun,
zoom_in,ffi,verb,
